series,episode,baker,result,signature,signature_ingredients,showstopper,showstopper_ingredients
9,2,Luke,OUT,Lemon and Poppy Seed Traybake,"lemon, poppy seed, white chocolate, candied lemon, mascarpone cream",Raspberry and White Chocolate Collar Cake,"whipped double cream, white chocolate, raspberry, chocolate"
9,2,Rahul,STAR BAKER,Lemon and Cardamom Traybake,"italian meringue buttercream, lemon curd, cardamom, joconde sponge , lemon",Chocolate Orange Layer Cake,"dark chocolate, orange syrup, white chocolate swiss meringue, orange, crème au beurre"
9,2,Imelda,NA,NA,NA,NA,NA
9,3,Briony,IN,Balsamic Strawberry Chelsea Buns,"balsamic strawberry glaze, mascarpone icing, raisins, pistachios, balsamic strawberry",Happily Ever After Korovai,"lemon zest, lime zest, orange zest, salted caramel vodka, plaited dough"
9,3,Dan,IN,Sticky Spiced Orange Chelsea Buns,"candied orange syrup, brandy soaked sultanas",Wedding Korovai,"orange zest, lemon zest, spiced rum"
9,3,Jon,IN,Cardiff City vs Chelsea Buns,"salted caramel, peacan, fondant icing, pecan butter, marshmallow",Korovai Dydd Dewi Sant,"welsh tea, mixed spice, chopped dried fruit, plaited dough"
9,3,Karen,IN,Peak District Christmas Chelsea Buns,"cranberry, royal icing, glace cherry, flaked almonds, ",French Breakfast Wedding Korovai,"coffee, chocolate chips, matcha "
9,3,Kim-Joy,IN,Pistachio and Cardamom Tangzhong Chelsea Buns,"tangzhong, pistachio, cardamom, lemon zest, royal icing","Orange, Cinnamon and Cranberry 'Kit-ovai'","cinnamon, cranberry"
9,3,Manon,IN,"Apricot, Cranberry and Marzipan Chai Chelsea Buns","chai tea, apricot jam glaze, cranberry, marzipan",Faberg√© Inspired Traditional Korovai,"orange blossom, chocolate, lattice"
9,3,Ruby,IN,"Gujarela Chelsea Buns with Dates, Almonds and Raisins","ghee, gujarela, dark chocolate, dates, almonds, raisins, vanilla, cinnamon",Mama and Papa's Belated Wedding Korovai,"apricot, almond liqueur, cherry, braided spiral dough, apricot jam glaze, flaked almonds"
9,3,Terry,IN,Tangy Citrus Sticky Chelsea Buns,"apricots, dates, lemon water icing, amalfi lemon, mixed peel",Garden Korovai,"orange, lemon, vanilla, cinnamon butter"
9,3,Antony,OUT,Decadent Breakfast Chelsea Buns,"cinnamon, peanut butter, boozy caramel sauce, bacon, pecan, rum soaked raisins",Chocolate and Orange Adventure Korovai,"chocolate, apricot and orange liqueur glaze, orange"
9,3,Rahul,STAR BAKER,Mango and Cranberry Chelsea Buns,"dried cranberries, mango, mango icing, bengali five spice",Garden Wedding Korovai,"orange zest, lemon zest"
9,3,Imelda,NA,NA,NA,NA,NA
9,3,Luke,NA,NA,NA,NA,NA
9,4,Terry,IN,NA,NA,NA,NA
9,4,Briony,IN,Treacle Tart Roulade,"mascarpone cream, pears, dried pears, pecan, meringue",Blood Orange & Amaretto Sticky Toffee Sphere,"white chocolate, amaretto, blood orange zest, sticky toffee pudding tart"
9,4,Jon,IN,Mango and Passion Fruit Roulade,"meringue, passion fruit and lime curd, white chocolate cream, mango, mango spheres",Lucy and Hannah's Ballet Cake,"white chocolate, dark chocolate, white chocolate ganache, raspberry ganache, kirsch syrup joconde, raspberry and kirsch syrup"
9,4,Karen,IN,Coffee Cream and Praline Roulade,"meringue, irish coffee cream custard, hazelnut pralines, coffee caramel , dark chocolate, whiskey",Chateau Du Chambord Framboise,"dark chocolate, raspberry syllabub, raspberry liqueur chocolate brownie, raspberry liqueur coulis, white chocolate, mascarpone, royal icing"
9,4,Kim-Joy,IN,'Sweet Dreams' Roulade,"meringue, whipped cream, passion fruit curd, raspberry, falked almonds",Melting Chocolate Galaxy,"chocolate orange craquelin, orange liqueur cream, blanced almonds, dark chocolate, salted caramel sauce, choux"
9,4,Manon,IN,Amarene and Kirsch Cherry Roulade,"mascarpone cream, kirsch, dark cherry, amarene cherry, meringue",White Chocolate Renaissance Surprise,"white chocolate, crème anglaise, white chocolate mousse, raspberry curd, dark chocolate, raspberry, praline"
9,4,Rahul,IN,Rhubarb and Custard Roulade,"rhubarb compote, cream custard, meringue, flaked almonds",Opera Cake with Kalash Inspired Dome,"chocolate joconde, plain joconde, coffee crème anglaise, coffee french buttercream, dark chocolate"
9,4,Ruby,IN,Pina Colada Roulade,"rosted pineapple, coconut rum cream, meringue, desiccated coconut, meringue",Chocolate Egg,"pistachio, white chocolate coconut ganache, passion fruit curd, mango swiss meringue, milk chocolate"
